id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5OpiyfqaQLdtwHd3SfembH,Pynk,Janelle Monae Feat. GRIMES,0.672,0.291,8,-7.843,1,0.0897,0.0375,0.00000389,0.0925,0.417,100.961,240426,4
38HcgcQC4suvti0Sa0e5yc,Rose in Harlem,Teyana Taylor,0.543,0.567,2,-5.241,0,0.129,0.468,0,0.171,0.351,143.744,222828,4
2NRZo1Y3T6UaVCz1i8dMqm,Hunter,Anna Calvi,0.439,0.454,5,-8.251,1,0.028,0.316,0.000696,0.0901,0.388,97.97,251693,4
3WDRazENary2ipdo7elNyC,Dance Floor ,Tracey Thorn,0.63,0.864,0,-7.201,1,0.0399,0.0145,0.000045,0.0725,0.343,107.494,176488,4
4UAW2gObi5o6sJla0qZpPn,Mariners Apartment complex,Lana Del Ray,0.528,0.284,9,-11.487,1,0.0287,0.795,0.000303,0.109,0.172,76.012,246421,4
6bGwKHXHNLmTy6yt147FPh,If you know you know,Pusha T,0.46,0.697,6,-5.954,0,0.325,0.0186,0,0.362,0.701,153.426,202120,4
3aW0ds4A4tSQDIp75FqWTo,Fake Love,BTS,0.557,0.719,2,-4.515,0,0.0372,0.00267,0,0.306,0.344,77.501,242334,4
5btaVjrLBxTvXNmCv5DrW2,Curious,Hayley Kiyoko,0.788,0.703,1,-5.986,0,0.127,0.0753,0.0000613,0.333,0.442,104.049,183280,4
5jPx8IbBLUVhMbV2i4lbzJ,Dive,Beach House,0.375,0.801,5,-6.638,1,0.0437,0.0098,0.954,0.102,0.153,110.99,265373,4
7ef4DlsgrMEH11cDZd32M6,One kiss,Calvin harris Feat. Dua Lipa,0.791,0.862,9,-3.24,0,0.11,0.037,0.0000219,0.0814,0.592,123.994,214847,4
7r7NTwtWAhPRtzylDu3hnE,Hangman,Dave,0.58,0.598,4,-6.733,0,0.389,0.602,0.00000258,0.113,0.641,91.282,234725,4
3X00n5Y2TFduHHiNU9yZ72,M.A.H,U.S Girls,0.454,0.914,9,-4.083,1,0.0797,0.173,0.00000265,0.495,0.356,114.879,174235,4
40hcwo4kW02HIZjqwQ2X27,Tongue ,MNEK,0.679,0.889,8,-5.678,0,0.184,0.00846,0,0.123,0.534,106.456,210267,4
04983qPpPoUMmLeN06yLto,Watchout,Flohio,0.717,0.824,1,-5.601,1,0.214,0.0287,0,0.0899,0.318,122.021,227185,4
5p5DfHXJYj05yhRG0qPKQq,Over and Over and Over,Jack White,0.572,0.846,4,-5.294,0,0.0926,0.00026,0.00269,0.0781,0.731,123.823,216279,4
3ZEyqdjBJDdPUG24U4Y3il,Street fighter Mas,Kamasi Washington,0.6,0.662,9,-8.285,0,0.0941,0.58,0.952,0.1,0.707,80.856,358151,4
0zv07tjR3lHDRzvumLbLl9,Fortnite,Greedo,0.803,0.509,6,-8.134,0,0.139,0.0629,0,0.099,0.271,96.975,257384,4
19kADipQKzIvP842UGOTYd,Jumpy-Remix,"Ambush Buzzworl,Skepta,Chip",0.661,0.816,10,-5.329,1,0.454,0.076,0,0.0836,0.605,126.178,281575,4
7wZ5xcUu0OLkJxri4EFjFB,Swimming Pool,Anna Calvi,0.366,0.338,7,-10.869,1,0.0312,0.635,0.314,0.128,0.0859,115.394,294973,4
5OCJzvD7sykQEKHH7qAC3C,God is a woman,Ariana grande,0.602,0.658,1,-5.934,1,0.0558,0.0233,0.00006,0.237,0.268,145.031,197547,4
3FskQrDXcY24ur2fCvz35O,Ye,Burna Boy,0.503,0.592,5,-5.923,0,0.444,0.0181,0.00014,0.169,0.344,201.85,231618,4
5eQ9IwVa9EodrmIItRQpaA,Accelerate,"Christina Aguilera,Ty Dolla $ign,2 Chainz",0.799,0.629,0,-5.638,0,0.14,0.371,0.00000201,0.15,0.293,128.041,243062,4
0hXBdBTFOJZLBZPmnwoWgn,Ship go down,Natalie Prass,0.505,0.548,2,-8.569,0,0.0326,0.00475,0.0308,0.0903,0.369,151.361,363933,3
3swc6WTsr7rl9DqQKQA55C,Psycho,"Post Malone,Ty Dolla $ign",0.739,0.559,8,-8.011,1,0.117,0.58,0,0.112,0.439,140.124,221440,4
7zfzFbRc07YsbFef5xnz9h,Talking straight,Rolling Blackouts Coastal fever,0.368,0.784,2,-4.824,1,0.039,0.000533,0.534,0.0957,0.629,85.73,224526,4
2iRy66b9oGfv2hg48EeaTt,My Queen is Ada Eastman,Sons of kemet,0.625,0.832,6,-6.294,1,0.105,0.656,0.0318,0.0979,0.725,146.092,399733,4
5htLRa3BAFjjvugs6hGOsF,2 Down 2 Dance,Sorry,0.342,0.767,5,-7.153,1,0.0755,0.00572,0.0437,0.0991,0.544,168.218,181564,4
